barID,Name,Beer,Price
4,The  Fretful Pizza Bar,Lagunitas Sucks,4.5
4,The  Fretful Pizza Bar,Arrogant Bastard Ale,4.5
4,The  Fretful Pizza Bar,Centennial IPA,5.0
4,The  Fretful Pizza Bar,Backwoods Bastard,5.0
5,The Secretive Apple Tavern,Coors Banquet,3
5,The Secretive Apple Tavern,Dos Equis,3
5,The Secretive Apple Tavern,Blue Moon,3
5,The Secretive Apple Tavern,Yuengling Lager,3
5,The Secretive Apple Tavern,Natural Ice,4.0
5,The Secretive Apple Tavern,Pabst Blue Ribbon,4
5,The Secretive Apple Tavern,Bud Ice,4
5,The Secretive Apple Tavern,Stella Artois,4.5
5,The Secretive Apple Tavern,Miller High Life,4.5
5,The Secretive Apple Tavern,Keystone Light,4.5
6,Bright Toad Bar,Pabst Blue Ribbon,3
6,Bright Toad Bar,Bud Ice,3
6,Bright Toad Bar,Stella Artois,3
6,Bright Toad Bar,Miller High Life,3.5
6,Bright Toad Bar,Keystone Light,3.5
6,Bright Toad Bar,Heineken,4.0
6,Bright Toad Bar,Busch,4
6,Bright Toad Bar,Natural Light,4
6,Bright Toad Bar,Modelo especial,4
6,Bright Toad Bar,Michelob Ultra,4.5
7,Spiritual Skull Inn,Icehouse,3
7,Spiritual Skull Inn,Steel Reserve,3
7,Spiritual Skull Inn,Coors Banquet,3
7,Spiritual Skull Inn,Dos Equis,3
7,Spiritual Skull Inn,Blue Moon,3
7,Spiritual Skull Inn,Yuengling Lager,3.5
7,Spiritual Skull Inn,Natural Ice,3.5
7,Spiritual Skull Inn,Pabst Blue Ribbon,3.5
7,Spiritual Skull Inn,Bud Ice,3.5
7,Spiritual Skull Inn,Stella Artois,4.0
8,The Subdued Armadillo Inn,Bud Light,3
8,The Subdued Armadillo Inn,Breakfast Stout,3
8,The Subdued Armadillo Inn,90 Minute IPA,3.5
8,The Subdued Armadillo Inn,Sculpin IPA,3.5
8,The Subdued Armadillo Inn,KBS,3.5
8,The Subdued Armadillo Inn,60 Minute IPA,3.5
8,The Subdued Armadillo Inn,Lagunitas Sucks,3.5
8,The Subdued Armadillo Inn,Arrogant Bastard Ale,3.5
8,The Subdued Armadillo Inn,Centennial IPA,4.0
8,The Subdued Armadillo Inn,Backwoods Bastard,4.0
9,Knotty Cod Inn,Dos Equis,3
9,Knotty Cod Inn,Blue Moon,3
9,Knotty Cod Inn,Yuengling Lager,3
9,Knotty Cod Inn,Natural Ice,3
9,Knotty Cod Inn,Pabst Blue Ribbon,3.5
9,Knotty Cod Inn,Bud Ice,3.5
9,Knotty Cod Inn,Stella Artois,3.5
9,Knotty Cod Inn,Miller High Life,3.5
9,Knotty Cod Inn,Keystone Light,4.0
9,Knotty Cod Inn,Heineken,4.0
10,Glib Pear Bar,Stella Artois,3
10,Glib Pear Bar,Miller High Life,3
10,Glib Pear Bar,Keystone Light,3.5
10,Glib Pear Bar,Heineken,3.5
10,Glib Pear Bar,Busch,3.5
10,Glib Pear Bar,Natural Light,3.5
10,Glib Pear Bar,Modelo especial,4.0
10,Glib Pear Bar,Michelob Ultra,4.0
10,Glib Pear Bar,Miller Lite,4.0
10,Glib Pear Bar,Budweiser,4.0
11,The  Fascinated Onion Inn,Natural Light,3
11,The  Fascinated Onion Inn,Modelo especial,3.5
11,The  Fascinated Onion Inn,Michelob Ultra,3.5
11,The  Fascinated Onion Inn,Miller Lite,3.5
11,The  Fascinated Onion Inn,Budweiser,4.0
11,The  Fascinated Onion Inn,Coors Light,4.0
11,The  Fascinated Onion Inn,Bud Light,4.0
11,The  Fascinated Onion Inn,Breakfast Stout,4.0
11,The  Fascinated Onion Inn,90 Minute IPA,4.0
11,The  Fascinated Onion Inn,Sculpin IPA,4.0
12,Roomy Badger Bar,Dos Equis,3
12,Roomy Badger Bar,Blue Moon,3
12,Roomy Badger Bar,Yuengling Lager,3.5
12,Roomy Badger Bar,Natural Ice,3.5
12,Roomy Badger Bar,Pabst Blue Ribbon,3.5
12,Roomy Badger Bar,Bud Ice,4.0
12,Roomy Badger Bar,Stella Artois,4.0
12,Roomy Badger Bar,Miller High Life,4.0
12,Roomy Badger Bar,Keystone Light,4.0
12,Roomy Badger Bar,Heineken,4
13,Dry Gorilla Pub,Heineken,3
13,Dry Gorilla Pub,Busch,3
13,Dry Gorilla Pub,Natural Light,3.5
13,Dry Gorilla Pub,Modelo especial,3.5
13,Dry Gorilla Pub,Michelob Ultra,4.0
13,Dry Gorilla Pub,Miller Lite,4.0
13,Dry Gorilla Pub,Budweiser,4.0
13,Dry Gorilla Pub,Coors Light,4.0
13,Dry Gorilla Pub,Bud Light,4
13,Dry Gorilla Pub,Breakfast Stout,4
14,The Icy Dog ,Bud Ice,3
14,The Icy Dog ,Stella Artois,3.5
14,The Icy Dog ,Miller High Life,3.5
14,The Icy Dog ,Keystone Light,3.5
14,The Icy Dog ,Heineken,4.0
14,The Icy Dog ,Busch,4.0
14,The Icy Dog ,Natural Light,4
14,The Icy Dog ,Modelo especial,4
14,The Icy Dog ,Michelob Ultra,4
14,The Icy Dog ,Miller Lite,4
15,The Sedate Gate Pub,Barrel-Aged Abraxas,3
15,The Sedate Gate Pub,King Julius,3
15,The Sedate Gate Pub,Heady Topper,3
15,The Sedate Gate Pub,Very Hazy,3
15,The Sedate Gate Pub,Guinness,3.5
15,The Sedate Gate Pub,Mil's Best Ice,3.5
15,The Sedate Gate Pub,Corona Light,3.5
15,The Sedate Gate Pub,Icehouse,4.0
15,The Sedate Gate Pub,Steel Reserve,4
15,The Sedate Gate Pub,Coors Banquet,4
16,Ambitious Kitten ,Very Hazy,3
16,Ambitious Kitten ,Guinness,3
16,Ambitious Kitten ,Mil's Best Ice,3
16,Ambitious Kitten ,Corona Light,3
16,Ambitious Kitten ,Icehouse,3
16,Ambitious Kitten ,Steel Reserve,3.5
16,Ambitious Kitten ,Coors Banquet,3.5
16,Ambitious Kitten ,Dos Equis,3.5
16,Ambitious Kitten ,Blue Moon,3.5
16,Ambitious Kitten ,Yuengling Lager,3.5
17,Placid Cove Bar,Budweiser,3
17,Placid Cove Bar,Coors Light,3
17,Placid Cove Bar,Bud Light,3
17,Placid Cove Bar,Breakfast Stout,3
17,Placid Cove Bar,90 Minute IPA,3.5
17,Placid Cove Bar,Sculpin IPA,3.5
17,Placid Cove Bar,KBS,3.5
17,Placid Cove Bar,60 Minute IPA,3.5
17,Placid Cove Bar,Lagunitas Sucks,3.5
17,Placid Cove Bar,Arrogant Bastard Ale,3.5
18,The Guarded Tiger Tavern,Busch,3
18,The Guarded Tiger Tavern,Natural Light,3
18,The Guarded Tiger Tavern,Modelo especial,3
18,The Guarded Tiger Tavern,Michelob Ultra,3
18,The Guarded Tiger Tavern,Miller Lite,3.5
18,The Guarded Tiger Tavern,Budweiser,3.5
18,The Guarded Tiger Tavern,Coors Light,3.5
18,The Guarded Tiger Tavern,Bud Light,3.5
18,The Guarded Tiger Tavern,Breakfast Stout,3.5
18,The Guarded Tiger Tavern,90 Minute IPA,3.5
19,Ubiquitous Bongo Pub,Bud Ice,3
19,Ubiquitous Bongo Pub,Stella Artois,3
19,Ubiquitous Bongo Pub,Miller High Life,3
19,Ubiquitous Bongo Pub,Keystone Light,3
19,Ubiquitous Bongo Pub,Heineken,3
19,Ubiquitous Bongo Pub,Busch,3
19,Ubiquitous Bongo Pub,Natural Light,3.5
19,Ubiquitous Bongo Pub,Modelo especial,3.5
19,Ubiquitous Bongo Pub,Michelob Ultra,3.5
19,Ubiquitous Bongo Pub,Miller Lite,3.5
20,Detailed Flower Inn,Coors Banquet,3
20,Detailed Flower Inn,Dos Equis,3
20,Detailed Flower Inn,Blue Moon,3
20,Detailed Flower Inn,Yuengling Lager,3
20,Detailed Flower Inn,Natural Ice,3.5
20,Detailed Flower Inn,Pabst Blue Ribbon,3.5
20,Detailed Flower Inn,Bud Ice,3.5
20,Detailed Flower Inn,Stella Artois,3.5
20,Detailed Flower Inn,Miller High Life,3.5
20,Detailed Flower Inn,Keystone Light,4.0
21,The Ripe Adventurer Inn,King Julius,3
21,The Ripe Adventurer Inn,Heady Topper,3
21,The Ripe Adventurer Inn,Very Hazy,3
21,The Ripe Adventurer Inn,Guinness,3
21,The Ripe Adventurer Inn,Mil's Best Ice,3.5
21,The Ripe Adventurer Inn,Corona Light,3.5
21,The Ripe Adventurer Inn,Icehouse,3.5
21,The Ripe Adventurer Inn,Steel Reserve,3.5
21,The Ripe Adventurer Inn,Coors Banquet,3.5
21,The Ripe Adventurer Inn,Dos Equis,3.5
22,Ripe Lyre Tavern,Natural Light,3
22,Ripe Lyre Tavern,Modelo especial,3
22,Ripe Lyre Tavern,Michelob Ultra,3
22,Ripe Lyre Tavern,Miller Lite,3.5
22,Ripe Lyre Tavern,Budweiser,3.5
22,Ripe Lyre Tavern,Coors Light,3.5
22,Ripe Lyre Tavern,Bud Light,3.5
22,Ripe Lyre Tavern,Breakfast Stout,3.5
22,Ripe Lyre Tavern,90 Minute IPA,3.5
22,Ripe Lyre Tavern,Sculpin IPA,4.0
23,The Abiding Wife Inn,Very Hazy,3
23,The Abiding Wife Inn,Guinness,3.5
23,The Abiding Wife Inn,Mil's Best Ice,3.5
23,The Abiding Wife Inn,Corona Light,3.5
23,The Abiding Wife Inn,Icehouse,3.5
23,The Abiding Wife Inn,Steel Reserve,3.5
23,The Abiding Wife Inn,Coors Banquet,3.5
23,The Abiding Wife Inn,Dos Equis,4.0
23,The Abiding Wife Inn,Blue Moon,4.0
23,The Abiding Wife Inn,Yuengling Lager,4.0
24,Economic Captain Inn,Corona Light,3
24,Economic Captain Inn,Icehouse,3
24,Economic Captain Inn,Steel Reserve,3
24,Economic Captain Inn,Coors Banquet,3
24,Economic Captain Inn,Dos Equis,3.5
24,Economic Captain Inn,Blue Moon,3.5
24,Economic Captain Inn,Yuengling Lager,3.5
24,Economic Captain Inn,Natural Ice,4.0
24,Economic Captain Inn,Pabst Blue Ribbon,4.0
24,Economic Captain Inn,Bud Ice,4.0
25,Racial Pirate ,Michelob Ultra,3
25,Racial Pirate ,Miller Lite,3
25,Racial Pirate ,Budweiser,3
25,Racial Pirate ,Coors Light,3
25,Racial Pirate ,Bud Light,3.5
25,Racial Pirate ,Breakfast Stout,3.5
25,Racial Pirate ,90 Minute IPA,3.5
25,Racial Pirate ,Sculpin IPA,3.5
25,Racial Pirate ,KBS,4.0
25,Racial Pirate ,60 Minute IPA,4.0
26,Neat Snowman Inn,Very Hazy,3
26,Neat Snowman Inn,Guinness,3
26,Neat Snowman Inn,Mil's Best Ice,3
26,Neat Snowman Inn,Corona Light,3
26,Neat Snowman Inn,Icehouse,3.5
26,Neat Snowman Inn,Steel Reserve,3.5
26,Neat Snowman Inn,Coors Banquet,3.5
26,Neat Snowman Inn,Dos Equis,3.5
26,Neat Snowman Inn,Blue Moon,4.0
26,Neat Snowman Inn,Yuengling Lager,4.0
27,The Lowly Adventurer Pub,Pabst Blue Ribbon,3
27,The Lowly Adventurer Pub,Bud Ice,3
27,The Lowly Adventurer Pub,Stella Artois,3
27,The Lowly Adventurer Pub,Miller High Life,3
27,The Lowly Adventurer Pub,Keystone Light,3.5
27,The Lowly Adventurer Pub,Heineken,3.5
27,The Lowly Adventurer Pub,Busch,3.5
27,The Lowly Adventurer Pub,Natural Light,4.0
27,The Lowly Adventurer Pub,Modelo especial,4.0
27,The Lowly Adventurer Pub,Michelob Ultra,4.0
28,Hesitant Pikachu Bar,Modelo especial,3
28,Hesitant Pikachu Bar,Michelob Ultra,3
28,Hesitant Pikachu Bar,Miller Lite,3
28,Hesitant Pikachu Bar,Budweiser,3.5
28,Hesitant Pikachu Bar,Coors Light,3.5
28,Hesitant Pikachu Bar,Bud Light,3.5
28,Hesitant Pikachu Bar,Breakfast Stout,3.5
28,Hesitant Pikachu Bar,90 Minute IPA,4.0
28,Hesitant Pikachu Bar,Sculpin IPA,4.0
28,Hesitant Pikachu Bar,KBS,4.0
29,The Lonely Cake Tavern,Mil's Best Ice,3
29,The Lonely Cake Tavern,Corona Light,3.5
29,The Lonely Cake Tavern,Icehouse,3.5
29,The Lonely Cake Tavern,Steel Reserve,3.5
29,The Lonely Cake Tavern,Coors Banquet,4.0
29,The Lonely Cake Tavern,Dos Equis,4.0
29,The Lonely Cake Tavern,Blue Moon,4.0
29,The Lonely Cake Tavern,Yuengling Lager,4.0
29,The Lonely Cake Tavern,Natural Ice,4.0
29,The Lonely Cake Tavern,Pabst Blue Ribbon,4.0
30,Electric Guitar Pub,Coors Banquet,3
30,Electric Guitar Pub,Dos Equis,3.5
30,Electric Guitar Pub,Blue Moon,3.5
30,Electric Guitar Pub,Yuengling Lager,3.5
30,Electric Guitar Pub,Natural Ice,4.0
30,Electric Guitar Pub,Pabst Blue Ribbon,4.0
30,Electric Guitar Pub,Bud Ice,4.0
30,Electric Guitar Pub,Stella Artois,4.0
30,Electric Guitar Pub,Miller High Life,4.0
30,Electric Guitar Pub,Keystone Light,4.0
31,Delicate Gate Pub,Bud Ice,3.5
31,Delicate Gate Pub,Stella Artois,3.5
31,Delicate Gate Pub,Miller High Life,4.0
31,Delicate Gate Pub,Keystone Light,4.0
31,Delicate Gate Pub,Heineken,4.0
31,Delicate Gate Pub,Busch,4.0
31,Delicate Gate Pub,Natural Light,4.0
31,Delicate Gate Pub,Modelo especial,4.0
31,Delicate Gate Pub,Michelob Ultra,4.0
31,Delicate Gate Pub,Miller Lite,4.0
32,The Juvenile Toad Tavern,Bud Light,3
32,The Juvenile Toad Tavern,Breakfast Stout,3
32,The Juvenile Toad Tavern,90 Minute IPA,3.5
32,The Juvenile Toad Tavern,Sculpin IPA,4.0
32,The Juvenile Toad Tavern,KBS,4.0
32,The Juvenile Toad Tavern,60 Minute IPA,4.0
32,The Juvenile Toad Tavern,Lagunitas Sucks,4.0
32,The Juvenile Toad Tavern,Arrogant Bastard Ale,4.0
32,The Juvenile Toad Tavern,Centennial IPA,4.0
32,The Juvenile Toad Tavern,Backwoods Bastard,4.0
33,Groovy Crossbow Bar,Coors Banquet,3
33,Groovy Crossbow Bar,Dos Equis,3
33,Groovy Crossbow Bar,Blue Moon,3.5
33,Groovy Crossbow Bar,Yuengling Lager,3.5
33,Groovy Crossbow Bar,Natural Ice,3.5
33,Groovy Crossbow Bar,Pabst Blue Ribbon,4.0
33,Groovy Crossbow Bar,Bud Ice,4.0
33,Groovy Crossbow Bar,Stella Artois,4.0
33,Groovy Crossbow Bar,Miller High Life,4.0
33,Groovy Crossbow Bar,Keystone Light,4.0
34,Wrong Frog Tavern,Pabst Blue Ribbon,3
34,Wrong Frog Tavern,Bud Ice,3
34,Wrong Frog Tavern,Stella Artois,3.5
34,Wrong Frog Tavern,Miller High Life,3.5
34,Wrong Frog Tavern,Keystone Light,3.5
34,Wrong Frog Tavern,Heineken,4.0
34,Wrong Frog Tavern,Busch,4.0
34,Wrong Frog Tavern,Natural Light,4.0
34,Wrong Frog Tavern,Modelo especial,4.0
34,Wrong Frog Tavern,Michelob Ultra,4.0
35,The Scared Fish Bar,Pabst Blue Ribbon,3
35,The Scared Fish Bar,Bud Ice,3
35,The Scared Fish Bar,Stella Artois,3.5
35,The Scared Fish Bar,Miller High Life,3.5
35,The Scared Fish Bar,Keystone Light,3.5
35,The Scared Fish Bar,Heineken,3.5
35,The Scared Fish Bar,Busch,4.0
35,The Scared Fish Bar,Natural Light,4.0
35,The Scared Fish Bar,Modelo especial,4.0
35,The Scared Fish Bar,Michelob Ultra,4.0
36,Thoughtful Trumpet Bar,King Julius,3
36,Thoughtful Trumpet Bar,Heady Topper,3
36,Thoughtful Trumpet Bar,Very Hazy,3.5
36,Thoughtful Trumpet Bar,Guinness,4.0
36,Thoughtful Trumpet Bar,Mil's Best Ice,4.0
36,Thoughtful Trumpet Bar,Corona Light,4.0
36,Thoughtful Trumpet Bar,Icehouse,4.0
36,Thoughtful Trumpet Bar,Steel Reserve,4.0
36,Thoughtful Trumpet Bar,Coors Banquet,4.0
36,Thoughtful Trumpet Bar,Dos Equis,4.0
37,The Waiting Guitar Pub,Dos Equis,3
37,The Waiting Guitar Pub,Blue Moon,3
37,The Waiting Guitar Pub,Yuengling Lager,3
37,The Waiting Guitar Pub,Natural Ice,3
37,The Waiting Guitar Pub,Pabst Blue Ribbon,3.5
37,The Waiting Guitar Pub,Bud Ice,4.0
37,The Waiting Guitar Pub,Stella Artois,4.0
37,The Waiting Guitar Pub,Miller High Life,4.0
37,The Waiting Guitar Pub,Keystone Light,4.0
37,The Waiting Guitar Pub,Heineken,4.0
38,Stupendous Husband Inn,Bud Ice,3
38,Stupendous Husband Inn,Stella Artois,3
38,Stupendous Husband Inn,Miller High Life,3
38,Stupendous Husband Inn,Keystone Light,3.5
38,Stupendous Husband Inn,Heineken,3.5
38,Stupendous Husband Inn,Busch,4.0
38,Stupendous Husband Inn,Natural Light,4.0
38,Stupendous Husband Inn,Modelo especial,4.0
38,Stupendous Husband Inn,Michelob Ultra,4.0
38,Stupendous Husband Inn,Miller Lite,4.0
39,Overjoyed Frog Pub,Mil's Best Ice,3
39,Overjoyed Frog Pub,Corona Light,3
39,Overjoyed Frog Pub,Icehouse,3
39,Overjoyed Frog Pub,Steel Reserve,3.5
39,Overjoyed Frog Pub,Coors Banquet,4.0
39,Overjoyed Frog Pub,Dos Equis,4.0
39,Overjoyed Frog Pub,Blue Moon,4.0
39,Overjoyed Frog Pub,Yuengling Lager,4.0
39,Overjoyed Frog Pub,Natural Ice,4.0
39,Overjoyed Frog Pub,Pabst Blue Ribbon,4.0
40,The Meaty Captain ,Corona Light,3
40,The Meaty Captain ,Icehouse,3
40,The Meaty Captain ,Steel Reserve,3
40,The Meaty Captain ,Coors Banquet,3
40,The Meaty Captain ,Dos Equis,3.5
40,The Meaty Captain ,Blue Moon,3.5
40,The Meaty Captain ,Yuengling Lager,3.5
40,The Meaty Captain ,Natural Ice,4.0
40,The Meaty Captain ,Pabst Blue Ribbon,4.0
40,The Meaty Captain ,Bud Ice,4.0
41,The Ubiquitous Gate Pub,Stella Artois,3
41,The Ubiquitous Gate Pub,Miller High Life,3
41,The Ubiquitous Gate Pub,Keystone Light,3
41,The Ubiquitous Gate Pub,Heineken,3
41,The Ubiquitous Gate Pub,Busch,3
41,The Ubiquitous Gate Pub,Natural Light,3
41,The Ubiquitous Gate Pub,Modelo especial,3.5
41,The Ubiquitous Gate Pub,Michelob Ultra,3.5
41,The Ubiquitous Gate Pub,Miller Lite,4.0
41,The Ubiquitous Gate Pub,Budweiser,4.0
42,The Rotten Apple Bar,Barrel-Aged Abraxas,3
42,The Rotten Apple Bar,King Julius,3
42,The Rotten Apple Bar,Heady Topper,3
42,The Rotten Apple Bar,Very Hazy,3.5
42,The Rotten Apple Bar,Guinness,3.5
42,The Rotten Apple Bar,Mil's Best Ice,3.5
42,The Rotten Apple Bar,Corona Light,3.5
42,The Rotten Apple Bar,Icehouse,3.5
42,The Rotten Apple Bar,Steel Reserve,3.5
42,The Rotten Apple Bar,Coors Banquet,3.5
43,The Used Cod Bar,King Julius,3
43,The Used Cod Bar,Heady Topper,3
43,The Used Cod Bar,Very Hazy,3
43,The Used Cod Bar,Guinness,3
43,The Used Cod Bar,Mil's Best Ice,3.5
43,The Used Cod Bar,Corona Light,3.5
43,The Used Cod Bar,Icehouse,3.5
43,The Used Cod Bar,Steel Reserve,3.5
43,The Used Cod Bar,Coors Banquet,3.5
43,The Used Cod Bar,Dos Equis,3.5
44,Alleged Cake Inn,Bud Light,3
44,Alleged Cake Inn,Breakfast Stout,3
44,Alleged Cake Inn,90 Minute IPA,3
44,Alleged Cake Inn,Sculpin IPA,3.5
44,Alleged Cake Inn,KBS,3.5
44,Alleged Cake Inn,60 Minute IPA,3.5
44,Alleged Cake Inn,Lagunitas Sucks,3.5
44,Alleged Cake Inn,Arrogant Bastard Ale,3.5
44,Alleged Cake Inn,Centennial IPA,4.0
44,Alleged Cake Inn,Backwoods Bastard,4.0
45,Psychotic Frog ,Stella Artois,3
45,Psychotic Frog ,Miller High Life,3.5
45,Psychotic Frog ,Keystone Light,3.5
45,Psychotic Frog ,Heineken,3.5
45,Psychotic Frog ,Busch,3.5
45,Psychotic Frog ,Natural Light,3.5
45,Psychotic Frog ,Modelo especial,4.0
45,Psychotic Frog ,Michelob Ultra,4.0
45,Psychotic Frog ,Miller Lite,4.0
45,Psychotic Frog ,Budweiser,4.0
46,Troubled Garden Bar,Pabst Blue Ribbon,3
46,Troubled Garden Bar,Bud Ice,3
46,Troubled Garden Bar,Stella Artois,3
46,Troubled Garden Bar,Miller High Life,3
46,Troubled Garden Bar,Keystone Light,3.5
46,Troubled Garden Bar,Heineken,3.5
46,Troubled Garden Bar,Busch,4.0
46,Troubled Garden Bar,Natural Light,4.0
46,Troubled Garden Bar,Modelo especial,4.0
46,Troubled Garden Bar,Michelob Ultra,4.0
47,The Awful Pear ,Blue Moon,3
47,The Awful Pear ,Yuengling Lager,3
47,The Awful Pear ,Natural Ice,3
47,The Awful Pear ,Pabst Blue Ribbon,3
47,The Awful Pear ,Bud Ice,3.5
47,The Awful Pear ,Stella Artois,3.5
47,The Awful Pear ,Miller High Life,3.5
47,The Awful Pear ,Keystone Light,4.0
47,The Awful Pear ,Heineken,4.0
47,The Awful Pear ,Busch,4.0
48,The Demonic Lyre Inn,Bud Ice,3
48,The Demonic Lyre Inn,Stella Artois,3
48,The Demonic Lyre Inn,Miller High Life,3
48,The Demonic Lyre Inn,Keystone Light,3.5
48,The Demonic Lyre Inn,Heineken,3.5
48,The Demonic Lyre Inn,Busch,3.5
48,The Demonic Lyre Inn,Natural Light,4.0
48,The Demonic Lyre Inn,Modelo especial,4.0
48,The Demonic Lyre Inn,Michelob Ultra,4.0
48,The Demonic Lyre Inn,Miller Lite,4.0
49,Eminent Gate Pub,Coors Banquet,3
49,Eminent Gate Pub,Dos Equis,3
49,Eminent Gate Pub,Blue Moon,3
49,Eminent Gate Pub,Yuengling Lager,3
49,Eminent Gate Pub,Natural Ice,3.5
49,Eminent Gate Pub,Pabst Blue Ribbon,4.0
49,Eminent Gate Pub,Bud Ice,4.0
49,Eminent Gate Pub,Stella Artois,4.0
49,Eminent Gate Pub,Miller High Life,4.0
49,Eminent Gate Pub,Keystone Light,4.0
50,The Real Adventurer Tavern,Corona Light,3
50,The Real Adventurer Tavern,Icehouse,3
50,The Real Adventurer Tavern,Steel Reserve,3.5
50,The Real Adventurer Tavern,Coors Banquet,3.5
50,The Real Adventurer Tavern,Dos Equis,3.5
50,The Real Adventurer Tavern,Blue Moon,4.0
50,The Real Adventurer Tavern,Yuengling Lager,4.0
50,The Real Adventurer Tavern,Natural Ice,4.0
50,The Real Adventurer Tavern,Pabst Blue Ribbon,4.0
50,The Real Adventurer Tavern,Bud Ice,4.0
51,The Adjoining Bongo Tavern,Corona Light,3
51,The Adjoining Bongo Tavern,Icehouse,3
51,The Adjoining Bongo Tavern,Steel Reserve,3.5
51,The Adjoining Bongo Tavern,Coors Banquet,3.5
51,The Adjoining Bongo Tavern,Dos Equis,3.5
51,The Adjoining Bongo Tavern,Blue Moon,3.5
51,The Adjoining Bongo Tavern,Yuengling Lager,3.5
51,The Adjoining Bongo Tavern,Natural Ice,4.0
51,The Adjoining Bongo Tavern,Pabst Blue Ribbon,4.0
51,The Adjoining Bongo Tavern,Bud Ice,4.0
52,The Spicy Captain ,Michelob Ultra,3
52,The Spicy Captain ,Miller Lite,3
52,The Spicy Captain ,Budweiser,3
52,The Spicy Captain ,Coors Light,3.5
52,The Spicy Captain ,Bud Light,3.5
52,The Spicy Captain ,Breakfast Stout,3.5
52,The Spicy Captain ,90 Minute IPA,3.5
52,The Spicy Captain ,Sculpin IPA,3.5
52,The Spicy Captain ,KBS,3.5
52,The Spicy Captain ,60 Minute IPA,4.0
53,Straight Kitten Pub,Natural Ice,3
53,Straight Kitten Pub,Pabst Blue Ribbon,3
53,Straight Kitten Pub,Bud Ice,3
53,Straight Kitten Pub,Stella Artois,3.5
53,Straight Kitten Pub,Miller High Life,3.5
53,Straight Kitten Pub,Keystone Light,3.5
53,Straight Kitten Pub,Heineken,3.5
53,Straight Kitten Pub,Busch,3.5
53,Straight Kitten Pub,Natural Light,4.0
53,Straight Kitten Pub,Modelo especial,4.0
54,Picayune Cove Tavern,Bud Ice,3
54,Picayune Cove Tavern,Stella Artois,3
54,Picayune Cove Tavern,Miller High Life,3
54,Picayune Cove Tavern,Keystone Light,3
54,Picayune Cove Tavern,Heineken,3
54,Picayune Cove Tavern,Busch,3
54,Picayune Cove Tavern,Natural Light,3
54,Picayune Cove Tavern,Modelo especial,3.5
54,Picayune Cove Tavern,Michelob Ultra,3.5
54,Picayune Cove Tavern,Miller Lite,4.0
55,The Enormous Snowman ,Budweiser,3
55,The Enormous Snowman ,Coors Light,3
55,The Enormous Snowman ,Bud Light,3
55,The Enormous Snowman ,Breakfast Stout,3
55,The Enormous Snowman ,90 Minute IPA,3
55,The Enormous Snowman ,Sculpin IPA,3.5
55,The Enormous Snowman ,KBS,3.5
55,The Enormous Snowman ,60 Minute IPA,3.5
55,The Enormous Snowman ,Lagunitas Sucks,3.5
55,The Enormous Snowman ,Arrogant Bastard Ale,3.5
56,Eight Badger Pub,Modelo especial,3
56,Eight Badger Pub,Michelob Ultra,3
56,Eight Badger Pub,Miller Lite,3
56,Eight Badger Pub,Budweiser,3
56,Eight Badger Pub,Coors Light,3
56,Eight Badger Pub,Bud Light,3
56,Eight Badger Pub,Breakfast Stout,3.5
56,Eight Badger Pub,90 Minute IPA,3.5
56,Eight Badger Pub,Sculpin IPA,3.5
56,Eight Badger Pub,KBS,4.0
